Source,Category,Sentence
20-Shareholder-Letter_Adobe.pdf,,"In 2019, we pioneered opportunity parity to examine ensures our company will endure."
20-Shareholder-Letter_Adobe.pdf,,"Adobe is guided by our fairness in promotions and horizontal movement across core values—to be genuine, exceptional, innovative and demographic groups."
20-Shareholder-Letter_Adobe.pdf,Legitimate Portability,We’re ensuring our innovation culture thrives with a burgeoning internship program and collaborative projects with top universities around the globe.
20-Shareholder-Letter_Adobe.pdf,Legitimate Portability,"Our skills-based volunteering and board service programs not only positively impact our communities, but also provide valuable development and growth opportunities for our employees."
20-Shareholder-Letter_Adobe.pdf,Regulatory Compliance,"In December, I joined 70 other CEOs in signing a statement of our continued support for the Paris Climate Agreement."
20-Shareholder-Letter_Adobe.pdf,Legitimate Portability,"With our strong track record of performance, compelling strategy, exceptional team, loyal customers and strong values to guide us, we are well-positioned in this new decade and beyond."
20-Shareholder-Letter_Adobe.pdf,Irrelevant,"For example, for every 1 million transactions that use Adobe Sign instead of traditional printing, we save an estimated 27 million gallons of water, Sincerely, 1.5 million pounds of waste and 23.4 million pounds of CO2e."
20-Shareholder-Letter_Adobe.pdf,Legitimate Portability,"Creative Cloud enables design, digital prototyping and workflows that reduce physical production and transportation and their accompanying emissions."
2018-06_Adobe_ToS_USA.pdf,Account Action,"Where permitted by law, this option is turned on by default, and the information is associated with your Adobe account."
2018-06_Adobe_ToS_USA.pdf,Legitimate Portability,"Subject to your compliance with the Terms and the law, you may access and use the Services and Software."
2018-06_Adobe_ToS_USA.pdf,Technical Blocking,"We may create reasonable technical limits on file size, storage space, processing capacity, and other technical limits."
2018-06_Adobe_ToS_USA.pdf,Account Action,We may suspend the Services until you are within the storage space limit associated with your account.
2018-06_Adobe_ToS_USA.pdf,Content Licensing,"At the end of this 30- day transition period, we reserve the right to delete your Content."
2018-06_Adobe_ToS_USA.pdf,Content Licensing,"You may reproduce and distribute Content Files only in connection with your End Use, however, under no circumstances can you distribute the Content Files on a stand-alone basis, outside of the End Use."
2018-06_Adobe_ToS_USA.pdf,Content Licensing,"If we designate the Services or Software as for use by educational users (“Educational Version”), then you may only use the Educational Version if you meet the eligibility requirements stated at http://www.adobe.com/go/primary-secondary-institution-eligibility-guidelines."
2018-06_Adobe_ToS_USA.pdf,Legitimate Portability,You may install and use the NFR Version only for the period and purposes stated when we provide the NFR Version.
2018-06_Adobe_ToS_USA.pdf,Regulatory Compliance,"If you reside in the European Economic Area, then the word “country” in the prior sentence means the European Economic Area."
2018-06_Adobe_ToS_USA.pdf,Account Action,You are responsible for all activity that occurs via your account.
2018-06_Adobe_ToS_USA.pdf,Account Action,Please notify Customer Support immediately if you become aware of any unauthorized use of your account.
2018-06_Adobe_ToS_USA.pdf,Account Action,Your account administrator may use your account information to manage your use and access to the Services and Software.
2018-06_Adobe_ToS_USA.pdf,Technical Blocking,You must not access or attempt to access the Services or Software by any means other than the interface we provide or authorize;
2018-06_Adobe_ToS_USA.pdf,Price Discrimination,"If you are located in a different country from the applicable Adobe entity that you are transacting with (i.e., Adobe Inc. for North American customers and Adobe Systems Software Ireland Limited for customers in all other countries), your payments will be made to a foreign entity."
2018-06_Adobe_ToS_USA.pdf,Account Action,"If you do not notify us of updates to your payment method, to avoid interruption of your service, we may participate in programs supported by your card provider to try to update your payment information."
2018-06_Adobe_ToS_USA.pdf,Account Action,"If we terminate the Terms, or your use of the Service(s) for reasons other than for cause, we will make reasonable efforts to notify you at least 30 days prior to termination via the email address you provide to us with instructions on how to retrieve your Content."
2018-06_Adobe_ToS_USA.pdf,Account Action,"Unless stated in any Additional Terms, we may, at any time, terminate your right to use and access the Services or Software if: (a) you breach any provision of the Terms (or act in a manner that clearly shows you do not intend to, or are unable to, comply with the Terms);"
2018-06_Adobe_ToS_USA.pdf,Account Action,Group administrators for a Service such as “Creative Cloud for teams” may terminate a user’s access to a Service at any time.
2018-06_Adobe_ToS_USA.pdf,Regulatory Compliance,"The Services or Software and your use of the Services and Software, are subject to U.S. and international laws, restrictions, and regulations that may govern the import, export, and use of the Services and Software."
2018-06_Adobe_ToS_USA.pdf,Regulatory Compliance,"You agree to comply with all the laws, restrictions, and regulations."
2018-06_Adobe_ToS_USA.pdf,Regulatory Compliance,"Nothing in the Terms is intended to exclude, restrict, or modify any consumer rights under the Competition and Consumer Act 2010 (Cth) (CCA) or any other legislation which may not be excluded, restricted, or modified by agreement."
2018-06_Adobe_ToS_USA.pdf,Legitimate Portability,"If a dispute is not resolved within 30 days of submission, any resulting legal actions must be resolved through final and binding arbitration, except that you may assert claims in small claims court if your claims qualify."
2018-06_Adobe_ToS_USA.pdf,Regulatory Compliance,"If the CCA or any other legislation implies a condition, warranty, or term into the Terms or provides statutory guarantees in connection with the Terms, in respect of goods or services supplied (if any), our liability for breach of such a condition, warranty, other term or guarantee is limited (at our election), to the extent it is able to do so: (a) in the case of supply of goods, us doing any one or more of the following: (i) replacing the goods or supplying equivalent goods; (ii) repairing the goods; (iii) paying the cost of replacing the goods or of acquiring equivalent goods; and (iv) paying the cost of having the goods repaired; or (b) in the case of supply of services, our doing either or both of the following: (i) supplying the services again; and (ii) paying the cost of having the services supplied again."
2018-06_Adobe_ToS_USA.pdf,Legitimate Portability,"If you reside in the Americas, JAMS will administer the arbitration in Santa Clara County, California pursuant to its Comprehensive Arbitration Rules and Procedures."
2018-06_Adobe_ToS_USA.pdf,Legitimate Portability,"If you reside in Australia, New Zealand, Japan, mainland China, Hong Kong S.A.R., Macau S.A.R., Taiwan, South Korea, India, Sri Lanka, Bangladesh, Nepal, or a member state of the Association of Southeast Asian Nations (ASEAN), then the Singapore International Arbitration Centre (SIAC) will administer the arbitration in Singapore under its Rules of Arbitration, which rules are deemed to be incorporated by reference in this section."
2018-06_Adobe_ToS_USA.pdf,Legitimate Portability,"Otherwise, the London Court of International Arbitration (LCIA) will administer the arbitration in London under the LCIA Arbitration Rules."
2018-06_Adobe_ToS_USA.pdf,Regulatory Compliance,"Notwithstanding the foregoing, in the event of your or others’ unauthorized access to or use of the Services or Software in violation of the Terms, you agree that we are entitled to apply for injunctive remedies (or an equivalent type of urgent legal relief) in any jurisdiction."
2018-06_Adobe_ToS_USA.pdf,Regulatory Compliance,"If you are a business, company, or organization, then we may, no more than once every 12 months, upon seven 7 days’ prior notice to you, appoint our personnel or an independent third-party auditor who is obliged to maintain confidentiality to inspect (including manual inspection, electronic methods, or both) your records, systems, and facilities to verify that your installation and use of any and all Services or Software is in conformity with its valid licenses from us."
2018-06_Adobe_ToS_USA.pdf,Regulatory Compliance,"Additionally, you will provide us with all records and information requested by us within 30 days of our request in order for us to verify that the installation and use of any and all Services and Software is in conformity with your valid licenses."
2018-06_Adobe_ToS_USA.pdf,Legitimate Portability,"If we discontinue the Services or Software in its entirety, we will also allow you a reasonable time to download your Content and we may provide you with a pro rata refund for any unused fees for that Service or Software that you prepaid."
2018-06_Adobe_ToS_USA.pdf,Content Licensing,"Webpages describing the Services are accessible worldwide, but this does not mean all Services or service features are available in your country or that user-generated content available via the Services is legal or available in your country."
2018-06_Adobe_ToS_USA.pdf,4. Content Licensing,"Access to certain Services (or certain Service features, Sample Files or Content Files) in certain countries may be blocked by us or foreign governments."
2018-06_Adobe_ToS_USA.pdf,2. Account Action,It is your responsibility to make sure your use of the Services is legal or available where you use them.
2018-06_Adobe_ToS_USA.pdf,1. Technical Blocking,"We may, in our discretion, either provide such information to you or impose reasonable conditions, including a reasonable fee, on your decompilation of the Services or Software to ensure that our and our suppliers’ proprietary rights in the Services and Software are protected."
2018-06_Adobe_ToS_USA.pdf,2. Account Action,"You may not assign or otherwise transfer the Terms or your rights and obligations under the Terms, in whole or in part, without our written consent, and any such attempt will be void."
2018-06_Adobe_ToS_USA.pdf,Regulatory Compliance,We will respond to clear notices of copyright infringement consistent with the Digital Millennium Copyright Act (“DMCA”).
2018-06_Adobe_ToS_USA.pdf,Regulatory Compliance,You can learn more about Adobe's IP Takedown policies and practices here: http://www.adobe.com/legal/dmca.html.
2020-03_Adobe_ToS_USA.pdf,Regulatory Compliance,"If you reside in North America (inclusive of United States, Canada, Mexico, United States territories and possessions, and United States military bases wherever located), your relationship is with Adobe Inc., a United States company, and the Terms are governed by the law of California, U.S.A., unless preempted by U.S. federal law, without regard to conflict of law rules."
2020-03_Adobe_ToS_USA.pdf,Regulatory Compliance,"If you reside outside of North America, your relationship is with Adobe Systems Software Ireland Limited, and the Terms are governed by the law of Ireland."
2020-03_Adobe_ToS_USA.pdf,Regulatory Compliance,"For customers in Australia, Adobe Systems Software Ireland Limited is acting as an authorized agent of Adobe Systems Pty Ltd. and is entering into this contract in its capacity as agent for Adobe Systems Pty Ltd. You may have additional rights under your local law."
2020-03_Adobe_ToS_USA.pdf,2. Account Action,"If you received an “Entitlement” (which is defined as the right to use, access, and consume the Software and Services) from an organization or group, including but not limited to a business or any other commercial entity, government entity, non-profit organization, or educational institution (each, a “Business”) under one of Adobe’s business plans (such as Creative Cloud for Teams, Creative Cloud for Enterprise, or Document Cloud), then (A) you are a “Business User” of such Business; (B) your Adobe profile associated with such Entitlement is a “Business Profile”; and (C) all references to “you” in these Terms will mean such Business."
2020-03_Adobe_ToS_USA.pdf,2. Account Action,"If you are a Business User, you agree that, due to your receipt of Entitlements from such Business, (1) Adobe may provide such Business with the ability to access, use, remove, retain, and control your Business Profile and all Content therein whether uploaded or imported before or after the date these Terms were last updated; (2) your use of the Services and Software is governed by such Business’s agreement with Adobe; and (3) Adobe may provide your personal information to such Business."
2020-03_Adobe_ToS_USA.pdf,2. Account Action,"If you are a Business User with Entitlements from multiple Businesses, you may have separate Business Profiles associated with each Business."
2020-03_Adobe_ToS_USA.pdf,2. Account Action,"As a Business User, you may have different agreements with or obligations to a Business, which may affect your Business Profile or your Content."
2020-03_Adobe_ToS_USA.pdf,7. User Workaround,Adobe is not responsible for any violation by you of such agreements or obligations.
2020-03_Adobe_ToS_USA.pdf,Account Action,"If you do not want a Business to access, use, remove, retain, or control an account or profile, then do not use a Business email address with that account."
2020-03_Adobe_ToS_USA.pdf,Regulatory Compliance,"Where permitted by law, we will only access, view, or listen to your Content (defined in section 4.1 (Content) below) in limited ways."
2020-03_Adobe_ToS_USA.pdf,Regulatory Compliance,"For example, in order to perform the Services, we may need to access, view, or listen to your Content to (A) respond to Feedback or support requests; (B) detect, prevent, or otherwise address fraud, security, legal, or technical issues; and (C) enforce the Terms."
2020-03_Adobe_ToS_USA.pdf,Content Licensing,Our automated systems may analyze your Content using techniques such as machine learning in order to improve our Services and Software and the user experience.
2020-03_Adobe_ToS_USA.pdf,Account Action,We may suspend the Services until you are within the storage space limit associated with your account.
2020-03_Adobe_ToS_USA.pdf,Legitimate Portability,"At the end of this 30-day transition period, we reserve the right to delete your Content."
2020-03_Adobe_ToS_USA.pdf,Legitimate Portability,You should download any Content that you have stored in the Services before your license ends.
2020-03_Adobe_ToS_USA.pdf,Account Action,"At any time prior to or during the free or trial period, Adobe may, in its sole discretion, terminate the free or trial access without prior notice and without any liability to you, to the extent permitted under applicable law, for any reason, including to prevent abuse of the free or trial access."
2020-03_Adobe_ToS_USA.pdf,Legitimate Portability,"After the free or trial access period expires, you may only continue using the Services or Software by enrolling in a paid subscription, if available, or as otherwise permitted by Adobe."
2020-03_Adobe_ToS_USA.pdf,Technical Blocking,"(A) For any font or font file you upload or submit to the Services and Software (“Creative Cloud Customer Fonts”) you represent and warrant that you have all necessary rights to allow us to use, reproduce, display, host, and distribute the Creative Cloud Customer Fonts through the Services and Software for your use."
2020-03_Adobe_ToS_USA.pdf,Account Action,"(B) In the event we are informed by a third party or become aware that you do not have the rights to which you warrant in section 3.10(A) (Creative Cloud Customer Fonts) or that your Creative Cloud Customer Fonts violate third-party Intellectual Property Rights, then we may remove the Creative Cloud Customer Fonts from your account, from the Services, or from the Content that uses that Creative Cloud Customer Fonts."
2020-03_Adobe_ToS_USA.pdf,Legitimate Portability,(C) You may revoke our access to your Creative Cloud Customer Fonts and terminate our rights at any time by deleting your Creative Cloud Customer Fonts from the Service.
2020-03_Adobe_ToS_USA.pdf,5. Legitimate Portability,You may install and use the Educational Version only in the country where you are qualified as an educational user.
2020-03_Adobe_ToS_USA.pdf,5. Legitimate Portability,"If we designate the Services or Software to be for use by educational users (“Educational Version”), then you may only use the Educational Version if you meet the eligibility requirements stated here."
2020-03_Adobe_ToS_USA.pdf,3. Price Discrimination,You must not upload any Content that is prohibited by any applicable law.
2020-03_Adobe_ToS_USA.pdf,Account Action,You may revoke this license to your Content and terminate our rights at any time by removing your Content from the Service.
2020-03_Adobe_ToS_USA.pdf,Content Licensing,"If you submit Feedback to us however, then you grant us a non-exclusive, irrevocable, perpetual, worldwide, royalty-free, sublicensable, and transferable license to make, use, sell, have made, offer to sell, import, export, reproduce, publicly display, distribute, modify, and publicly perform the Feedback."
2020-03_Adobe_ToS_USA.pdf,Account Action,You are responsible for all activity that occurs via your account even if that activity is not by you or is without your knowledge or consent.
2020-03_Adobe_ToS_USA.pdf,4. Content Licensing,"If you are located in a different country from the applicable Adobe entity with which you are transacting (i.e., Adobe Inc. for North American customers and Adobe Systems Software Ireland Limited for customers in all other countries), your payments will be made to a foreign entity."
2020-03_Adobe_ToS_USA.pdf,2. Account Action,You authorize us to store your payment method and use it in connection with your use of the Services and Software as described in your Subscription and Cancellation Terms.
2020-03_Adobe_ToS_USA.pdf,Account Action,"Unless stated in any Additional Terms, we may, at any time, terminate or suspend your right to use and access the Services or Software if:"
2020-03_Adobe_ToS_USA.pdf,Account Action,"If we terminate the Terms, or your use of the Service(s) or Software for reasons other than for cause, we will make reasonable efforts to notify you at least 30 days prior to termination via the email address you provide to us with instructions on how to retrieve your Content."
2020-03_Adobe_ToS_USA.pdf,Account Action,"Unless stated in any Additional Terms, we may, at any time, terminate or suspend your right to use and access the Services or Software if:"
2020-03_Adobe_ToS_USA.pdf,Regulatory Compliance,"The Services and Software, and your use of them, are subject to laws, restrictions, and regulations of the United States and other jurisdictions that (A) govern the import, export, and use of the Services and Software; and (B) may prohibit us from providing the Services and Software to you without notice."
2020-03_Adobe_ToS_USA.pdf,Regulatory Compliance,"By using the Services and Software, you agree to comply with all such laws, restrictions, and regulations, and you warrant that you are not prohibited from receiving the Services and Software by the laws of any jurisdiction."
2020-03_Adobe_ToS_USA.pdf,Regulatory Compliance,"Nothing in the Terms is intended to exclude, restrict, or modify any consumer rights under the Competition and Consumer Act 2010 (Cth) (CCA) or any other legislation which may not be excluded, restricted, or modified by agreement."
2020-03_Adobe_ToS_USA.pdf,Legitimate Portability,"If a dispute is not resolved within 30 days of receipt by us, any resulting legal actions must be resolved through final and binding arbitration, including any question of whether arbitration is required, except that you may assert claims in small claims court if your claims qualify."
2020-03_Adobe_ToS_USA.pdf,Regulatory Compliance,"Claims related to the Terms, Services, or Software are permanently barred if not brought within one year of the event resulting in the claim."
2020-03_Adobe_ToS_USA.pdf,Regulatory Compliance,"If you reside in the Americas, JAMS will administer the arbitration in Santa Clara County, California pursuant to its Comprehensive Arbitration Rules and Procedures."
2020-03_Adobe_ToS_USA.pdf,Regulatory Compliance,"If you reside in Australia, New Zealand, Japan, mainland China, Hong Kong SAR of China, Macau SAR of China, Taiwan region, South Korea, India, Sri Lanka, Bangladesh, Nepal, or a member state of the Association of Southeast Asian Nations (ASEAN), then the Singapore International Arbitration Centre (SIAC) will administer the arbitration in Singapore under its Rules of Arbitration, which rules are deemed to be incorporated by reference in this section."
2020-03_Adobe_ToS_USA.pdf,Regulatory Compliance,"Otherwise, the London Court of International Arbitration (LCIA) will administer the arbitration in London under the LCIA Arbitration Rules."
2020-03_Adobe_ToS_USA.pdf,Account Action,"If you are a Business, then we may, no more than once every 12 months, upon seven 7 days’ prior notice to you, appoint our personnel or an independent third-party auditor who is obliged to maintain confidentiality to inspect (including manual inspection, electronic methods, or both) your records, systems, and facilities to verify that your installation and use of any and all Services or Software is in conformity with its valid licenses from us."
2020-03_Adobe_ToS_USA.pdf,Account Action,"If the verification discloses a shortfall in licenses for the Services or Software, you will immediately acquire any necessary licenses, subscriptions, and applicable back maintenance and support."
2020-03_Adobe_ToS_USA.pdf,Technical Blocking,"However, for changes to paid offerings, we will make reasonable efforts to notify you of the modification, update, or discontinuation."
2020-03_Adobe_ToS_USA.pdf,Technical Blocking,"If we discontinue the Services or Software in its entirety, we will use reasonable commercial efforts to allow you to transition your Content, and we may provide you with a pro rata refund for any unused fees for that Service or Software that you prepaid."
2020-03_Adobe_ToS_USA.pdf,Content Licensing,"Webpages describing the Services are accessible worldwide, but this does not mean all Services or service features are available in your country or that user-generated content available via the Services is legal or available in your country."
2020-03_Adobe_ToS_USA.pdf,Content Licensing,"Access to certain Services (or certain Service features, Sample Files, or Content Files) in certain countries may be blocked by us or foreign governments."
2020-03_Adobe_ToS_USA.pdf,Legitimate Portability,It is your responsibility to make sure your use of the Services is legal or available where you use them.
2020-03_Adobe_ToS_USA.pdf,Content Licensing,Services are not available in all languages.
2020-03_Adobe_ToS_USA.pdf,Technical Blocking,"Except as expressly permitted in the Terms, you may not (A) modify, port, adapt, or translate any portion of the Services or Software; or (B) reverse engineer (including but not limited to monitoring or tracking the inputs and outputs flowing through a system or an application in order to recreate that system), decompile, disassemble, or otherwise attempt to discover, within any Service or Software, the source code, data representations or underlying algorithms, processes, methods, and any other portion of such Service or Software."
